S.No.,Title,Year,Duration,Rating,Score,Link
224,Good Will Hunting,1997,2h 6m,R,8.3,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_76
225,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_77
226,Oldboy,2003,2h,R,8.3,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_78
227,Das Boot,1981,2h 29m,UNKNOWN,8.4,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79
228,Braveheart,1995,2h 58m,R,8.3,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80
229,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
230,High and Low,1963,2h 23m,Not Rated,8.4,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_81
231,American Beauty,1999,2h 2m,R,8.3,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_82
232,Princess Mononoke,1997,2h 13m,PG-13,8.3,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83
233,Your Name.,2016,1h 46m,UNKNOWN,8.4,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84
234,3 Idiots,2009,2h 50m,PG-13,8.4,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
235,Joker,2019,2h 2m,R,8.3,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_86
236,Capernaum,2018,2h 6m,R,8.4,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87
237,Once Upon a Time in America,1984,3h 49m,R,8.3,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_88
238,Singin' in the Rain,1952,1h 43m,G,8.3,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_89
239,Come and See,1985,2h 22m,Not Rated,8.3,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
240,"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
241,Requiem for a Dream,2000,1h 42m,NC-17,8.3,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91
242,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
243,Toy Story 3,2010,1h 43m,G,8.3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93
244,The Hunt,2012,1h 55m,R,8.3,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_94
245,Ikiru,1952,2h 23m,Not Rated,8.3,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
246,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_96
247,Incendies,2010,2h 11m,R,8.3,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97
248,2001: A Space Odyssey,1968,2h 29m,G,8.3,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_98
249,The Apartment,1960,2h 5m,Approved,8.3,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99
250,Lawrence of Arabia,1962,3h 47m,PG,8.3,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
