S.No.,Title,Year,Duration,Rating,Score,Link
151,The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_234
152,Stand by Me,1986,1h 29m,R,8.1,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_235
153,My Father and My Son,2005,1h 52m,Not Rated,8.2,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_236
154,A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_237
155,The Iron Giant,1999,1h 26m,PG,8.1,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_238
156,Network,1976,2h 1m,R,8.1,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_239
157,The Handmaiden,2016,2h 25m,Not Rated,8.1,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_240
158,The Green Mile,1999,3h 9m,R,8.6,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
159,The Battle of Algiers,1966,2h 1m,Not Rated,8.1,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_241
160,The Grapes of Wrath,1940,2h 9m,Approved,8.1,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_242
161,To Be or Not to Be,1942,1h 39m,Approved,8.1,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_243
162,Into the Wild,2007,2h 28m,R,8,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_244
163,Groundhog Day,1993,1h 41m,PG,8,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_245
164,The Help,2011,2h 26m,PG-13,8.1,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_246
165,Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_247
166,Drishyam,2015,2h 43m,Not Rated,8.2,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_248
167,Andhadhun,2018,2h 19m,Not Rated,8.2,https://www.imdb.com/title/tt8108198/?ref_=chttp_t_249
168,Amores Perros,2000,2h 34m,R,8,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_250
